event_type timestamp participant_id condition with_autocompletion entered_content start_time_in_s end_time_in_s duration_in_s
EventTypes.KEY_PRESSED,1621444241.4913702,1,with_autocompletion_text_2,True,T,1621444241.4913719,1621444241.491372,0
EventTypes.KEY_PRESSED,1621444241.7170818,1,with_autocompletion_text_2,True,r,1621444241.7170835,1621444241.7170837,0
EventTypes.KEY_PRESSED,1621444244.351384,1,with_autocompletion_text_2,True,u,1621444244.3513856,1621444244.3513858,0
EventTypes.KEY_PRESSED,1621444244.5774727,1,with_autocompletion_text_2,True,n,1621444244.5774746,1621444244.577475,0
EventTypes.KEY_PRESSED,1621444244.6691928,1,with_autocompletion_text_2,True,d,1621444244.6691952,1621444244.6691961,0
EventTypes.KEY_PRESSED,1621444245.0568929,1,with_autocompletion_text_2,True,i,1621444245.0568948,1621444245.0568948,0
EventTypes.KEY_PRESSED,1621444245.1892188,1,with_autocompletion_text_2,True,c,1621444245.1892204,1621444245.1892207,0
EventTypes.KEY_PRESSED,1621444245.2901132,1,with_autocompletion_text_2,True,h,1621444245.2901156,1621444245.290116,0
EventTypes.KEY_PRESSED,1621444245.7454364,1,with_autocompletion_text_2,True,b,1621444245.7454388,1621444245.7454393,0
EventTypes.KEY_PRESSED,1621444245.8813543,1,with_autocompletion_text_2,True,i,1621444245.8813567,1621444245.881357,0
EventTypes.KEY_PRESSED,1621444246.0837247,1,with_autocompletion_text_2,True,n,1621444246.0837264,1621444246.0837266,0
EventTypes.KEY_PRESSED,1621444246.3392928,1,with_autocompletion_text_2,True,n,1621444246.3392944,1621444246.3392947,0
EventTypes.KEY_PRESSED,1621444246.4724698,1,with_autocompletion_text_2,True,e,1621444246.4724715,1621444246.4724717,0
EventTypes.KEY_PRESSED,1621444246.546973,1,with_autocompletion_text_2,True,i,1621444246.5469744,1621444246.5469747,0
EventTypes.KEY_PRESSED,1621444248.1749763,1,with_autocompletion_text_2,True,e,1621444248.1749778,1621444248.174978,0
EventTypes.KEY_PRESSED,1621444248.286947,1,with_autocompletion_text_2,True,i,1621444248.2869494,1621444248.2869499,0
EventTypes.KEY_PRESSED,1621444248.4832153,1,with_autocompletion_text_2,True,n,1621444248.4832175,1621444248.4832177,0
EventTypes.KEY_PRESSED,1621444248.857627,1,with_autocompletion_text_2,True,g,1621444248.8576286,1621444248.8576288,0
EventTypes.KEY_PRESSED,1621444249.0624585,1,with_autocompletion_text_2,True,r,1621444249.0624604,1621444249.0624607,0
EventTypes.KEY_PRESSED,1621444249.360118,1,with_autocompletion_text_2,True,ö,1621444249.3601196,1621444249.3601198,0
EventTypes.KEY_PRESSED,1621444252.3377535,1,with_autocompletion_text_2,True,,1621444252.3377552,1621444252.3377554,0
EventTypes.KEY_PRESSED,1621444252.4994912,1,with_autocompletion_text_2,True,M,1621444252.4994931,1621444252.4994934,0
EventTypes.KEY_PRESSED,1621444252.66092,1,with_autocompletion_text_2,True,a,1621444252.6609216,1621444252.6609223,0
EventTypes.KEY_PRESSED,1621444252.8251736,1,with_autocompletion_text_2,True,l,1621444252.8251753,1621444252.825176,0
EventTypes.KEY_PRESSED,1621444253.3460834,1,with_autocompletion_text_2,True,g,1621444253.3460848,1621444253.346085,0
EventTypes.KEY_PRESSED,1621444253.5382175,1,with_autocompletion_text_2,True,e,1621444253.538219,1621444253.5382195,0
EventTypes.KEY_PRESSED,1621444253.8397362,1,with_autocompletion_text_2,True,w,1621444253.8397388,1621444253.8397398,0
EventTypes.KEY_PRESSED,1621444255.7604825,1,with_autocompletion_text_2,True,a,1621444255.7604845,1621444255.7604847,0
EventTypes.KEY_PRESSED,1621444255.8852153,1,with_autocompletion_text_2,True,l,1621444255.885217,1621444255.8852174,0
EventTypes.KEY_PRESSED,1621444255.957675,1,with_autocompletion_text_2,True,s,1621444255.9576778,1621444255.9576788,0
EventTypes.KEY_PRESSED,1621444256.3590715,1,with_autocompletion_text_2,True,i,1621444256.359073,1621444256.3590736,0
EventTypes.KEY_PRESSED,1621444256.4981875,1,with_autocompletion_text_2,True,n,1621444256.4981892,1621444256.49819,0
EventTypes.KEY_PRESSED,1621444256.5831535,1,with_autocompletion_text_2,True, ,1621444256.583155,1621444256.5831554,0
EventTypes.WORD_TYPED,1621444256.583232,1,with_autocompletion_text_2,True,könnte,1621444256.5832303,1621444252.4995794,4.083650827407837
EventTypes.KEY_PRESSED,1621444256.9947627,1,with_autocompletion_text_2,True,d,1621444256.9947643,1621444256.9947648,0
EventTypes.KEY_PRESSED,1621444257.2092083,1,with_autocompletion_text_2,True,i,1621444257.2092109,1621444257.2092118,0
EventTypes.KEY_PRESSED,1621444257.3054035,1,with_autocompletion_text_2,True,e,1621444257.3054054,1621444257.305406,0
EventTypes.KEY_PRESSED,1621444258.1881351,1,with_autocompletion_text_2,True,,1621444258.1881373,1621444258.1881378,0
EventTypes.KEY_PRESSED,1621444258.2225733,1,with_autocompletion_text_2,True,A,1621444258.222575,1621444258.2225754,0
EventTypes.KEY_PRESSED,1621444258.457917,1,with_autocompletion_text_2,True,u,1621444258.4579186,1621444258.457919,0
EventTypes.KEY_PRESSED,1621444258.5956068,1,with_autocompletion_text_2,True,g,1621444258.5956094,1621444258.5956101,0
EventTypes.KEY_PRESSED,1621444261.6033611,1,with_autocompletion_text_2,True,e,1621444261.6033626,1621444261.603363,0
EventTypes.KEY_PRESSED,1621444264.382615,1,with_autocompletion_text_2,True,,1621444264.3826168,1621444264.3826172,0
EventTypes.KEY_PRESSED,1621444264.4384224,1,with_autocompletion_text_2,True,W,1621444264.4384243,1621444264.4384248,0
EventTypes.KEY_PRESSED,1621444264.6126168,1,with_autocompletion_text_2,True,e,1621444264.6126182,1621444264.6126187,0
EventTypes.KEY_PRESSED,1621444264.826929,1,with_autocompletion_text_2,True,n,1621444264.8269308,1621444264.826931,0
EventTypes.KEY_PRESSED,1621444265.3446562,1,with_autocompletion_text_2,True,d,1621444265.3446581,1621444265.3446589,0
EventTypes.KEY_PRESSED,1621444265.5325334,1,with_autocompletion_text_2,True,a,1621444265.532536,1621444265.5325367,0
EventTypes.KEY_PRESSED,1621444265.6968143,1,with_autocompletion_text_2,True,s,1621444265.696817,1621444265.6968176,0
EventTypes.KEY_PRESSED,1621444266.0187745,1,with_autocompletion_text_2,True,l,1621444266.0187762,1621444266.0187767,0
EventTypes.KEY_PRESSED,1621444266.1591737,1,with_autocompletion_text_2,True,i,1621444266.1591752,1621444266.1591756,0
EventTypes.KEY_PRESSED,1621444266.269381,1,with_autocompletion_text_2,True,e,1621444266.2693827,1621444266.2693832,0
EventTypes.KEY_PRESSED,1621444267.106889,1,with_autocompletion_text_2,True,,1621444267.1068907,1621444267.1068916,0
EventTypes.KEY_PRESSED,1621444267.1381578,1,with_autocompletion_text_2,True,T,1621444267.1381593,1621444267.13816,0
EventTypes.KEY_PRESSED,1621444267.2942698,1,with_autocompletion_text_2,True,a,1621444267.2942712,1621444267.2942717,0
EventTypes.KEY_PRESSED,1621444267.416377,1,with_autocompletion_text_2,True,l,1621444267.4163787,1621444267.4163792,0
EventTypes.KEY_PRESSED,1621444267.9116154,1,with_autocompletion_text_2,True,u,1621444267.9116173,1621444267.9116178,0
EventTypes.KEY_PRESSED,1621444268.11915,1,with_autocompletion_text_2,True,m,1621444268.119152,1621444268.1191528,0
EventTypes.KEY_PRESSED,1621444268.2230518,1,with_autocompletion_text_2,True, ,1621444268.223053,1621444268.2230535,0
EventTypes.WORD_TYPED,1621444268.223127,1,with_autocompletion_text_2,True,jetzt,1621444268.2231245,1621444267.138241,1.084883451461792
EventTypes.KEY_PRESSED,1621444268.4184806,1,with_autocompletion_text_2,True,m,1621444268.418482,1621444268.4184828,0
EventTypes.KEY_PRESSED,1621444268.5599325,1,with_autocompletion_text_2,True,i,1621444268.5599341,1621444268.5599344,0
EventTypes.KEY_PRESSED,1621444268.6655605,1,with_autocompletion_text_2,True,c,1621444268.6655629,1621444268.6655633,0
EventTypes.KEY_PRESSED,1621444269.0587332,1,with_autocompletion_text_2,True,d,1621444269.0587354,1621444269.0587356,0
EventTypes.KEY_PRESSED,1621444269.2169552,1,with_autocompletion_text_2,True,a,1621444269.2169569,1621444269.216957,0
EventTypes.KEY_PRESSED,1621444269.2895188,1,with_autocompletion_text_2,True,m,1621444269.2895207,1621444269.2895212,0
EventTypes.KEY_PRESSED,1621444271.1277578,1,with_autocompletion_text_2,True,u,1621444271.1277595,1621444271.1277597,0
EventTypes.KEY_PRESSED,1621444271.319446,1,with_autocompletion_text_2,True,n,1621444271.3194475,1621444271.3194478,0
EventTypes.KEY_PRESSED,1621444271.4391615,1,with_autocompletion_text_2,True,d,1621444271.439164,1621444271.4391644,0
EventTypes.KEY_PRESSED,1621444272.2896118,1,with_autocompletion_text_2,True,d,1621444272.289614,1621444272.2896147,0
EventTypes.KEY_PRESSED,1621444272.4538834,1,with_autocompletion_text_2,True,i,1621444272.453885,1621444272.4538856,0
EventTypes.KEY_PRESSED,1621444272.5092788,1,with_autocompletion_text_2,True,e,1621444272.5092814,1621444272.5092819,0
EventTypes.KEY_PRESSED,1621444272.8242393,1,with_autocompletion_text_2,True,h,1621444272.8242412,1621444272.8242412,0
EventTypes.KEY_PRESSED,1621444272.9598644,1,with_autocompletion_text_2,True,o,1621444272.9598658,1621444272.959866,0
EventTypes.KEY_PRESSED,1621444273.1236815,1,with_autocompletion_text_2,True,h,1621444273.123683,1621444273.1236832,0
EventTypes.KEY_PRESSED,1621444273.6317074,1,with_autocompletion_text_2,True,,1621444273.631709,1621444273.6317093,0
EventTypes.KEY_PRESSED,1621444273.6735198,1,with_autocompletion_text_2,True,S,1621444273.6735225,1621444273.6735227,0
EventTypes.KEY_PRESSED,1621444273.873126,1,with_autocompletion_text_2,True,o,1621444273.8731282,1621444273.8731287,0
EventTypes.KEY_PRESSED,1621444274.0333364,1,with_autocompletion_text_2,True,n,1621444274.0333378,1621444274.0333383,0
EventTypes.KEY_PRESSED,1621444274.4697895,1,with_autocompletion_text_2,True,a,1621444274.4697914,1621444274.469792,0
EventTypes.KEY_PRESSED,1621444274.515516,1,with_autocompletion_text_2,True,n,1621444274.5155184,1621444274.5155191,0
EventTypes.KEY_PRESSED,1621444274.688968,1,with_autocompletion_text_2,True, ,1621444274.6889694,1621444274.68897,0
EventTypes.WORD_TYPED,1621444274.6890428,1,with_autocompletion_text_2,True,nicht,1621444274.6890407,1621444273.673619,1.0154216289520264
EventTypes.KEY_PRESSED,1621444274.9594262,1,with_autocompletion_text_2,True,d,1621444274.9594274,1621444274.959428,0
EventTypes.KEY_PRESSED,1621444275.0897665,1,with_autocompletion_text_2,True,e,1621444275.0897682,1621444275.0897686,0
EventTypes.KEY_PRESSED,1621444275.2136474,1,with_autocompletion_text_2,True,r,1621444275.2136488,1621444275.2136495,0
EventTypes.KEY_PRESSED,1621444275.881349,1,with_autocompletion_text_2,True,,1621444275.8813508,1621444275.8813512,0
EventTypes.KEY_PRESSED,1621444276.0160797,1,with_autocompletion_text_2,True,O,1621444276.0160816,1621444276.0160818,0
EventTypes.KEY_PRESSED,1621444276.2732036,1,with_autocompletion_text_2,True,b,1621444276.2732055,1621444276.2732058,0
EventTypes.KEY_PRESSED,1621444276.3313777,1,with_autocompletion_text_2,True,e,1621444276.3313801,1621444276.331381,0
EventTypes.KEY_PRESSED,1621444278.523795,1,with_autocompletion_text_2,True,,1621444278.5237968,1621444278.5237973,0
EventTypes.KEY_PRESSED,1621444282.8163033,1,with_autocompletion_text_2,True, ,1621444282.8163054,1621444282.8163059,0
EventTypes.WORD_TYPED,1621444282.8163881,1,with_autocompletion_text_2,True,zeichnen,1621444282.8163862,1621444276.0163746,6.80001163482666
EventTypes.KEY_PRESSED,1621444282.9994643,1,with_autocompletion_text_2,True,d,1621444282.999466,1621444282.9994664,0
EventTypes.KEY_PRESSED,1621444283.1658292,1,with_autocompletion_text_2,True,e,1621444283.1658309,1621444283.165831,0
EventTypes.KEY_PRESSED,1621444283.258957,1,with_autocompletion_text_2,True,r,1621444283.2589586,1621444283.2589588,0
EventTypes.KEY_PRESSED,1621444284.009401,1,with_autocompletion_text_2,True,,1621444284.0094035,1621444284.0094037,0
EventTypes.KEY_PRESSED,1621444284.2723515,1,with_autocompletion_text_2,True,u,1621444284.272353,1621444284.272353,0
EventTypes.KEY_PRESSED,1621444284.531138,1,with_autocompletion_text_2,True,n,1621444284.5311396,1621444284.5311403,0
EventTypes.KEY_PRESSED,1621444285.4568255,1,with_autocompletion_text_2,True,a,1621444285.456828,1621444285.4568288,0
EventTypes.KEY_PRESSED,1621444285.8009872,1,with_autocompletion_text_2,True,u,1621444285.8009887,1621444285.8009892,0
EventTypes.KEY_PRESSED,1621444286.6440039,1,with_autocompletion_text_2,True,,1621444286.6440058,1621444286.6440065,0
EventTypes.KEY_PRESSED,1621444286.7887404,1,with_autocompletion_text_2,True,,1621444286.7887418,1621444286.7887423,0
EventTypes.KEY_PRESSED,1621444290.9326932,1,with_autocompletion_text_2,True, ,1621444290.9326947,1621444290.9326954,0
EventTypes.WORD_TYPED,1621444290.93279,1,with_autocompletion_text_2,True,nicht,1621444290.932788,1621444284.2725592,6.660228729248047
EventTypes.KEY_PRESSED,1621444291.3581247,1,with_autocompletion_text_2,True,,1621444291.3581262,1621444291.3581266,0
EventTypes.KEY_PRESSED,1621444291.3897395,1,with_autocompletion_text_2,True,F,1621444291.389741,1621444291.3897417,0
EventTypes.KEY_PRESSED,1621444291.6739647,1,with_autocompletion_text_2,True,i,1621444291.673967,1621444291.6739676,0
EventTypes.KEY_PRESSED,1621444291.8257074,1,with_autocompletion_text_2,True,n,1621444291.8257098,1621444291.8257105,0
EventTypes.KEY_PRESSED,1621444294.0068088,1,with_autocompletion_text_2,True,m,1621444294.0068107,1621444294.0068111,0
EventTypes.KEY_PRESSED,1621444294.0888352,1,with_autocompletion_text_2,True,e,1621444294.0888371,1621444294.0888374,0
EventTypes.KEY_PRESSED,1621444294.241107,1,with_autocompletion_text_2,True,i,1621444294.241109,1621444294.2411096,0
EventTypes.KEY_PRESSED,1621444295.2308812,1,with_autocompletion_text_2,True,,1621444295.2308831,1621444295.2308834,0
EventTypes.KEY_PRESSED,1621444295.2322981,1,with_autocompletion_text_2,True,W,1621444295.2322998,1621444295.2323,0
EventTypes.KEY_PRESSED,1621444295.5100806,1,with_autocompletion_text_2,True,a,1621444295.510083,1621444295.510084,0
EventTypes.KEY_PRESSED,1621444295.7575407,1,with_autocompletion_text_2,True,l,1621444295.7575424,1621444295.757543,0
EventTypes.KEY_PRESSED,1621444296.6619544,1,with_autocompletion_text_2,True,r,1621444296.6619558,1621444296.6619563,0
EventTypes.KEY_PRESSED,1621444296.7857265,1,with_autocompletion_text_2,True,u,1621444296.7857285,1621444296.7857287,0
EventTypes.KEY_PRESSED,1621444297.4967635,1,with_autocompletion_text_2,True,h,1621444297.496765,1621444297.4967654,0
EventTypes.KEY_PRESSED,1621444298.8295064,1,with_autocompletion_text_2,True,u,1621444298.829508,1621444298.8295083,0
EventTypes.KEY_PRESSED,1621444299.602686,1,with_autocompletion_text_2,True,n,1621444299.6026878,1621444299.602688,0
EventTypes.KEY_PRESSED,1621444299.7532978,1,with_autocompletion_text_2,True,d,1621444299.7532995,1621444299.7533,0
EventTypes.KEY_PRESSED,1621444300.1048977,1,with_autocompletion_text_2,True,n,1621444300.1048994,1621444300.1049,0
EventTypes.KEY_PRESSED,1621444300.3833017,1,with_autocompletion_text_2,True,u,1621444300.3833034,1621444300.3833039,0
EventTypes.KEY_PRESSED,1621444300.4953935,1,with_autocompletion_text_2,True,r,1621444300.4953964,1621444300.495397,0
EventTypes.KEY_PRESSED,1621444300.8785794,1,with_autocompletion_text_2,True,d,1621444300.8785818,1621444300.8785825,0
EventTypes.KEY_PRESSED,1621444301.466176,1,with_autocompletion_text_2,True,,1621444301.4661787,1621444301.4661794,0
EventTypes.KEY_PRESSED,1621444301.574974,1,with_autocompletion_text_2,True,e,1621444301.574976,1621444301.5749764,0
EventTypes.KEY_PRESSED,1621444301.726406,1,with_autocompletion_text_2,True,i,1621444301.7264078,1621444301.7264082,0
EventTypes.KEY_PRESSED,1621444301.864576,1,with_autocompletion_text_2,True,n,1621444301.8645775,1621444301.864578,0
EventTypes.KEY_PRESSED,1621444303.1914117,1,with_autocompletion_text_2,True,,1621444303.1914134,1621444303.1914136,0
EventTypes.KEY_PRESSED,1621444303.259756,1,with_autocompletion_text_2,True,S,1621444303.2597575,1621444303.259758,0
EventTypes.KEY_PRESSED,1621444303.4090004,1,with_autocompletion_text_2,True,T,1621444303.409002,1621444303.4090025,0
EventTypes.KEY_PRESSED,1621444303.6155527,1,with_autocompletion_text_2,True,r,1621444303.615555,1621444303.6155558,0
EventTypes.KEY_PRESSED,1621444305.8152914,1,with_autocompletion_text_2,True,s,1621444305.8152936,1621444305.8152938,0
EventTypes.KEY_PRESSED,1621444305.9062202,1,with_autocompletion_text_2,True,i,1621444305.9062226,1621444305.9062233,0
EventTypes.KEY_PRESSED,1621444306.047624,1,with_autocompletion_text_2,True,c,1621444306.0476258,1621444306.0476263,0
EventTypes.KEY_PRESSED,1621444306.4471815,1,with_autocompletion_text_2,True,i,1621444306.4471838,1621444306.4471846,0
EventTypes.KEY_PRESSED,1621444306.6113272,1,with_autocompletion_text_2,True,n,1621444306.6113298,1621444306.6113305,0
EventTypes.KEY_PRESSED,1621444306.7012656,1,with_autocompletion_text_2,True, ,1621444306.7012677,1621444306.7012684,0
EventTypes.WORD_TYPED,1621444306.7013896,1,with_autocompletion_text_2,True,einen,1621444306.701385,1621444303.2598422,3.441542863845825
EventTypes.KEY_PRESSED,1621444306.937595,1,with_autocompletion_text_2,True,d,1621444306.937596,1621444306.937597,0
EventTypes.KEY_PRESSED,1621444307.1596942,1,with_autocompletion_text_2,True,a,1621444307.159725,1621444307.1597254,0
EventTypes.KEY_PRESSED,1621444307.3552449,1,with_autocompletion_text_2,True,s,1621444307.3552463,1621444307.3552465,0
EventTypes.KEY_PRESSED,1621444307.6755471,1,with_autocompletion_text_2,True,i,1621444307.675549,1621444307.6755493,0
EventTypes.KEY_PRESSED,1621444307.8335907,1,with_autocompletion_text_2,True,n,1621444307.8335924,1621444307.8335927,0
EventTypes.KEY_PRESSED,1621444307.963586,1,with_autocompletion_text_2,True,n,1621444307.9635878,1621444307.963588,0
EventTypes.KEY_PRESSED,1621444309.1416667,1,with_autocompletion_text_2,True,,1621444309.1416683,1621444309.1416686,0
EventTypes.KEY_PRESSED,1621444309.2546532,1,with_autocompletion_text_2,True,H,1621444309.2546558,1621444309.2546563,0
EventTypes.KEY_PRESSED,1621444309.3932765,1,with_autocompletion_text_2,True,e,1621444309.3932781,1621444309.3932784,0
EventTypes.KEY_PRESSED,1621444309.5052984,1,with_autocompletion_text_2,True,i,1621444309.5053003,1621444309.5053005,0
EventTypes.KEY_PRESSED,1621444312.131988,1,with_autocompletion_text_2,True, ,1621444312.1319897,1621444312.1319902,0
EventTypes.WORD_TYPED,1621444312.132197,1,with_autocompletion_text_2,True,Strich,1621444312.1321943,1621444309.2547681,2.8774261474609375
EventTypes.KEY_PRESSED,1621444312.384214,1,with_autocompletion_text_2,True,s,1621444312.3842163,1621444312.3842168,0
EventTypes.KEY_PRESSED,1621444312.627594,1,with_autocompletion_text_2,True,e,1621444312.6275957,1621444312.6275961,0
EventTypes.KEY_PRESSED,1621444313.0520668,1,with_autocompletion_text_2,True,,1621444313.0520692,1621444313.05207,0
EventTypes.KEY_PRESSED,1621444313.105741,1,with_autocompletion_text_2,True,t,1621444313.1057434,1621444313.1057444,0
EventTypes.KEY_PRESSED,1621444313.2524338,1,with_autocompletion_text_2,True,e,1621444313.252436,1621444313.2524366,0
EventTypes.KEY_PRESSED,1621444315.1933603,1,with_autocompletion_text_2,True,i,1621444315.1933622,1621444315.1933627,0
EventTypes.KEY_PRESSED,1621444315.3131008,1,with_autocompletion_text_2,True,c,1621444315.3131032,1621444315.313104,0
EventTypes.KEY_PRESSED,1621444315.380178,1,with_autocompletion_text_2,True,h,1621444315.3801801,1621444315.380181,0
EventTypes.KEY_PRESSED,1621444315.677266,1,with_autocompletion_text_2,True,d,1621444315.6772676,1621444315.677268,0
EventTypes.KEY_PRESSED,1621444315.8209362,1,with_autocompletion_text_2,True,a,1621444315.8209379,1621444315.8209388,0
EventTypes.KEY_PRESSED,1621444315.890393,1,with_autocompletion_text_2,True,n,1621444315.8903956,1621444315.8903964,0
EventTypes.KEY_PRESSED,1621444316.3298752,1,with_autocompletion_text_2,True,i,1621444316.3298779,1621444316.3298786,0
EventTypes.KEY_PRESSED,1621444316.5035887,1,with_autocompletion_text_2,True,m,1621444316.5035906,1621444316.503591,0
EventTypes.KEY_PRESSED,1621444316.5540597,1,with_autocompletion_text_2,True, ,1621444316.5540617,1621444316.5540621,0
EventTypes.WORD_TYPED,1621444316.5541327,1,with_autocompletion_text_2,True,und,1621444316.554131,1621444313.1059608,3.4481701850891113
EventTypes.KEY_PRESSED,1621444316.7684593,1,with_autocompletion_text_2,True,h,1621444316.768461,1621444316.7684612,0
EventTypes.KEY_PRESSED,1621444316.8594582,1,with_autocompletion_text_2,True,o,1621444316.85946,1621444316.85946,0
EventTypes.KEY_PRESSED,1621444317.0221987,1,with_autocompletion_text_2,True,h,1621444317.0222013,1621444317.0222018,0
EventTypes.KEY_PRESSED,1621444317.7816265,1,with_autocompletion_text_2,True,,1621444317.781628,1621444317.7816281,0
EventTypes.KEY_PRESSED,1621444317.801204,1,with_autocompletion_text_2,True,G,1621444317.801206,1621444317.8012064,0
EventTypes.KEY_PRESSED,1621444318.0282435,1,with_autocompletion_text_2,True,r,1621444318.0282457,1621444318.0282466,0
EventTypes.KEY_PRESSED,1621444318.1671255,1,with_autocompletion_text_2,True,a,1621444318.1671274,1621444318.1671276,0
EventTypes.KEY_PRESSED,1621444318.801142,1,with_autocompletion_text_2,True,a,1621444318.8011436,1621444318.8011441,0
EventTypes.KEY_PRESSED,1621444318.915391,1,with_autocompletion_text_2,True,m,1621444318.9153922,1621444318.9153929,0
EventTypes.KEY_PRESSED,1621444319.0337377,1,with_autocompletion_text_2,True, ,1621444319.03374,1621444319.0337408,0
EventTypes.WORD_TYPED,1621444319.0338752,1,with_autocompletion_text_2,True,bin,1621444319.0338712,1621444317.8013263,1.2325448989868164
EventTypes.KEY_PRESSED,1621444319.4628022,1,with_autocompletion_text_2,True,f,1621444319.4628046,1621444319.4628053,0
EventTypes.KEY_PRESSED,1621444319.8339658,1,with_autocompletion_text_2,True,a,1621444319.8339682,1621444319.8339689,0
EventTypes.KEY_PRESSED,1621444319.9472227,1,with_autocompletion_text_2,True,l,1621444319.9472244,1621444319.9472246,0
EventTypes.KEY_PRESSED,1621444321.1858306,1,with_autocompletion_text_2,True,,1621444321.1858335,1621444321.1858344,0
EventTypes.KEY_PRESSED,1621444321.2893455,1,with_autocompletion_text_2,True,B,1621444321.289348,1621444321.2893486,0
EventTypes.KEY_PRESSED,1621444321.769103,1,with_autocompletion_text_2,True,a,1621444321.7691047,1621444321.7691052,0
EventTypes.KEY_PRESSED,1621444321.9781559,1,with_autocompletion_text_2,True,c,1621444321.9781573,1621444321.9781575,0
EventTypes.KEY_PRESSED,1621444322.3731751,1,with_autocompletion_text_2,True,l,1621444322.3731768,1621444322.3731773,0
EventTypes.KEY_PRESSED,1621444322.528194,1,with_autocompletion_text_2,True,i,1621444322.5281959,1621444322.528196,0
EventTypes.KEY_PRESSED,1621444322.5741904,1,with_autocompletion_text_2,True,e,1621444322.5741923,1621444322.5741925,0
EventTypes.KEY_PRESSED,1621444333.7034178,1,no_autocompletion_text_1,False,,1621444333.70342,1621444333.7034204,0
EventTypes.KEY_PRESSED,1621444333.7901652,1,no_autocompletion_text_1,False,E,1621444333.7901673,1621444333.790168,0
EventTypes.KEY_PRESSED,1621444334.0264988,1,no_autocompletion_text_1,False,i,1621444334.0265005,1621444334.0265007,0
EventTypes.KEY_PRESSED,1621444334.1640615,1,no_autocompletion_text_1,False,n,1621444334.1640637,1621444334.1640642,0
EventTypes.KEY_PRESSED,1621444334.3046155,1,no_autocompletion_text_1,False, ,1621444334.3046176,1621444334.3046184,0
EventTypes.WORD_TYPED,1621444334.304728,1,no_autocompletion_text_1,False,Eine,1621444334.3047245,1621444333.7903042,0.5144202709197998
